id,title,url,referenceId,posterId,location,type,postDate,company.id,company.name,company.logo,company.url
3981215240,IT-Security Spezialist (w|m|d),https://www.linkedin.com/jobs/view/3981215240,JyM0/Zbg5/vqwtM0xbQVUQ==,674771990,"Vienna, Austria (Hybrid)",Full-time,2 months ago,6301018,Buchhaltungsagentur des Bundes,https://media.licdn.com/dms/image/v2/C4E0BAQG8ajc0drwWYw/company-logo_200_200/company-logo_200_200/0/1630652159580/buchhaltungsagentur_des_bundes_logo?e=1735776000&v=beta&t=oeKYd3J76iGD_Y1CoVw0G2puVgS6CJlPBoCN4LrDgLg,https://www.linkedin.com/company/buchhaltungsagentur-des-bundes/life
4034315061,Cyber Security Consultant,https://www.linkedin.com/jobs/view/4034315061,JyM0/Zbg5/vqwtM0xbQVUQ==,15703833,"Mönchengladbach, North Rhine-Westphalia, Germany (Hybrid)",Full-time,5 days ago,100327985,ByteOps GmbH,https://media.licdn.com/dms/image/v2/D4E0BAQE2Og1dQ0dJcA/company-logo_200_200/company-logo_200_200/0/1712947432039/byteops_gmbh_logo?e=1735776000&v=beta&t=vgYv7ODvMxpyJ9Kq1viyDkYF-NjWIkUNkP-uV2pU8YQ,https://www.linkedin.com/company/byteops-gmbh/life
4036811818,Wissenschaftliche Mitarbeiterin oder Mitarbeiter (m/w/d),https://www.linkedin.com/jobs/view/4036811818,JyM0/Zbg5/vqwtM0xbQVUQ==,117151146,"Frankfurt am Main, Hesse, Germany (Hybrid)",Part-time,2 days ago,10098615,LIEBENSTEIN LAW - Kanzlei für Wirtschaftsrecht,https://media.licdn.com/dms/image/v2/C560BAQHUo8i1RcsthA/company-logo_200_200/company-logo_200_200/0/1631301052167?e=1735776000&v=beta&t=T1VoGOoD4AGgTVDdfZpftB2xCEsxbgJkBKq8DWy7WQM,https://www.linkedin.com/company/liebenstein-llp---kanzlei-f%C3%BCr-wirtschaftsrecht/life
4029190400,Administrateur Support et Systèmes d'Information,https://www.linkedin.com/jobs/view/4029190400,JyM0/Zbg5/vqwtM0xbQVUQ==,3436142,"Ars, Nouvelle-Aquitaine, France (On-site)",Full-time,1 week ago,69517426,Maison Ferrand,https://media.licdn.com/dms/image/v2/C4D0BAQHqB-6k12e2lA/company-logo_200_200/company-logo_200_200/0/1630572775297?e=1735776000&v=beta&t=g3P1m6z4aXyqJ6NrZ6NjGo3EwglaSE192_wlGEQgkVA,https://www.linkedin.com/company/maisonferrand/life
3998566737,Lawyer,https://www.linkedin.com/jobs/view/3998566737,JyM0/Zbg5/vqwtM0xbQVUQ==,722150849,"Msida, Malta (On-site)",Full-time,1 month ago,673123,CLA Malta,https://media.licdn.com/dms/image/v2/D4E0BAQEfkLjJ41ZOug/company-logo_200_200/company-logo_200_200/0/1724933106286?e=1735776000&v=beta&t=Y8KV4ODJKump_efQ5yEYv6ARTwCdYnEBhoZbuuh_vII,https://www.linkedin.com/company/cla-malta/life
3954006259,Systems Engineer (Senior/Medior),https://www.linkedin.com/jobs/view/3954006259,JyM0/Zbg5/vqwtM0xbQVUQ==,3585549,"Zwevezele, Flemish Region, Belgium (Hybrid)",Full-time,3 months ago,9206181,Xcellerate,https://media.licdn.com/dms/image/v2/C4D0BAQH_drQ3d21neQ/company-logo_200_200/company-logo_200_200/0/1631302042240?e=1735776000&v=beta&t=tbV7YIX3K4V59p6SRGYhZlRjEbzY1umSf9FoIpknrkY,https://www.linkedin.com/company/xcelleratebe/life
3989014714,"IT Business Partner – Manufacturing & Logistic, Industry 4.0",https://www.linkedin.com/jobs/view/3989014714,JyM0/Zbg5/vqwtM0xbQVUQ==,169988931,"Prata di Pordenone, Friuli-Venezia Giulia, Italy (On-site)",Full-time,1 month ago,2071517,Friul Intagli Industries S.p.A.,https://media.licdn.com/dms/image/v2/C560BAQHhkrQdfveObw/company-logo_200_200/company-logo_200_200/0/1631301065057?e=1735776000&v=beta&t=Ib3gPUR1IMdnANpqobvmAaE370x9iK2dOC7fKdt7Jrk,https://www.linkedin.com/company/friul-intagli-industries-s.p.a./life
4027231221,RA Specialist,https://www.linkedin.com/jobs/view/4027231221,JyM0/Zbg5/vqwtM0xbQVUQ==,30075660,"Ghent, Flemish Region, Belgium (Hybrid)",Full-time,1 week ago,80070843,CLOUDS OF CARE,https://media.licdn.com/dms/image/v2/C4D0BAQEGLCcawrl0Qw/company-logo_200_200/company-logo_200_200/0/1648456994104/cloudsofcare_logo?e=1735776000&v=beta&t=oP_vecHKE9Y_gv3d98SIfxZYI5CGbjIhnCtevaG0GoI,https://www.linkedin.com/company/cloudsofcare/life
4032425280,IT-Projektmanager,https://www.linkedin.com/jobs/view/4032425280,JyM0/Zbg5/vqwtM0xbQVUQ==,510796355,Greater Munich Metropolitan Area (On-site),Full-time,1 week ago,100576205,STOLZE CONSULTING,https://media.licdn.com/dms/image/v2/D560BAQFy6bIU_4AP4Q/company-logo_200_200/company-logo_200_200/0/1709735012024/stolze_consulting_logo?e=1735776000&v=beta&t=wxDBUfogXuRUTvFVXgTmLepAwzFzzVorR1BrRE816IY,https://www.linkedin.com/company/stolze-consulting/life
4012855146,ISO 27001 Auditor - Czechia,https://www.linkedin.com/jobs/view/4012855146,JyM0/Zbg5/vqwtM0xbQVUQ==,461654714,Czechia (Remote),Full-time,1 month ago,75764784,Insight Assurance,https://media.licdn.com/dms/image/v2/D560BAQEoFJzt29eTKg/company-logo_200_200/company-logo_200_200/0/1699297306526/insight_assurance_logo?e=1735776000&v=beta&t=B3jWf2ABpV43jfMoB26eINVQdL7O6OS7ttBvx6zJ2xk,https://www.linkedin.com/company/insight-assurance/life
